token,coefficient
active,0.5562785439764578
jungle,0.5562531819708645
bridge,0.5560327722946885
northern,0.5550009580580513
harvest,0.5547265074078774
tim,0.5527607829924507
bicycle,0.5527392978332721
mountain,0.5515821301244522
affordable,0.5503435092510328
draw,0.5495239408679049
olive,0.548279275669432
la,0.5475785399029411
witch,0.5468626891638743
monsters,0.5456539169070241
pin,0.5450338512939159
david,0.5449370678278772
boxes,0.5449228102065946
place,0.5441164697431948
exhibit,0.5435618877957106
hill,0.5433333414536347
girl,0.5405623120451818
burlesque,0.5384113613935442
collection,0.5380397060398323
western,0.5377485977174324
lines,0.5376238454169953
nd,0.5368384151015778
adults,0.5363172063069355
revolution,0.5360011085375779
trade,0.5353267434623472
cook,0.5342545779634759
al,0.5326215500412379
mile,0.5318887483626675
copper,0.5317119872969627
luck,0.5302362404638291
creek,0.5302001680235985
west,0.5289679025432857
silk,0.527841905987503
card,0.5263768095415259
haiti,0.5258969312028924
commissions,0.525445306555047
tradition,0.524572063071614
ny,0.5243919054660816
inside,0.5229715801875244
throw,0.5221153539321914
coloring,0.5208211889289499
lee,0.5204381250157917
pure,0.5196045848362633
tiny,0.516461451475811
coin,0.5157101222311811
warm,0.5156952154807627
bikes,0.5148272345602344
midnight,0.513695663340888
queen,0.5125664922212011
bottle,0.5124052603709892
map,0.511784316806408
wind,0.5117242744176874
ryan,0.5102761167059247
comedy,0.5097978961805364
mastering,0.5086866800155385
calendar,0.5082630312029626
join,0.5068066659465637
bus,0.5060629727472038
does,0.5059648121922633
ve,0.5055875656083854
beast,0.5054726660365032
fresh,0.5048040775755794
noise,0.5031589034249779
songs,0.5026519727909031
goat,0.5025676767088955
spirits,0.5018994137334222
farmers,0.500199280377536
bread,0.4991344528366008
connection,0.49861945069372215
sons,0.4985594680153616
dry,0.49779821796903106
lamp,0.49545386918942896
golden,0.4953160901482729
ex,0.49510198925927584
produced,0.49490326916336563
ghosts,0.494858439777354
les,0.49475767957567807
travels,0.4945792558406889
lose,0.494519199433836
force,0.49435165917380136
rolling,0.49378191717194625
brain,0.49354273929643366
perfect,0.4934609803441262
matthew,0.4931805864525471
lightning,0.49280655667853474
dolls,0.4909303187779509
joy,0.49054495141858595
epic,0.490455828261538
read,0.4902807032582545
pi,0.4886526420201065
hit,0.48863483017237175
honey,0.4885028887308088
awesome,0.4877720004625715
ski,0.48732502428444596
craft,0.4872109115035948
sketch,0.48561420748077105
festival,0.4848099104766958
scott,0.4847286787437315
learn,0.48392603876947576
writers,0.48389246386034956
programming,0.4838163093497092
air,0.4827586979906196
bone,0.4818236546265778
coffee,0.48121492548662137
austin,0.4801479403808936
cd,0.4800367702897394
shark,0.47994901919552796
make,0.4779066021456739
pie,0.47752049420495263
ways,0.47713736842928833
france,0.4770287888197045
lingerie,0.47694016929681643
display,0.4748675411142329
timeless,0.47454105742754865
creatures,0.4733421697087455
nice,0.4726232932849368
march,0.4715738538547178
functional,0.47111768430207634
brewery,0.4707829403533981
shadows,0.4703200444316845
farmer,0.46944500260791394
river,0.46869531947113907
hard,0.46850973366378923
wake,0.4682062581965912
good,0.46799737997222307
red,0.46713529159522343
wilderness,0.46692216419628585
batch,0.4664952372151181
spring,0.46630694571735026
endless,0.46592820953393654
wood,0.46548780401619505
choir,0.4632918437159411
pack,0.46309328279769396
forest,0.46278424461973044
bite,0.461443483546781
fairy,0.46009800093975073
rogue,0.45937057257446184
illustration,0.4592656776988416
chicago,0.458440140910616
luxury,0.4581687042926712
humans,0.45723551168233645
kevin,0.45696381607016956
bee,0.4563014652881803
mini,0.45585383529326623
bring,0.45574081205320105
better,0.4555741542762919
sunday,0.4549335244555488
precision,0.45449834811328127
photobook,0.453369696130636
shakespeare,0.4533284178406312
renaissance,0.4528268381632979
plant,0.4527822694925777
seattle,0.4522555549542844
opera,0.45209627683419884
recording,0.4509480250767228
barrel,0.4502950534467195
joe,0.44927811010479546
amazon,0.44846923347915013
winter,0.44761627090821604
sized,0.44721725771029847
puppet,0.4467412548278094
doctor,0.44593173517074125
pre,0.44560994745184834
gathering,0.4456097805080049
city,0.4448989494543301
like,0.44476179160337004
growing,0.44435816189642113
uspcc,0.4442419512580109
mermaid,0.4430752767829133
key,0.4420331803026613
jack,0.44110360358923717
recycled,0.44051031473962826
british,0.439828014592085
buffalo,0.4397091932274389
fundraiser,0.4392982634437898
revolutionary,0.43810231227917634
friend,0.43799547533313377
pilot,0.4379656837100861
miller,0.4370440452140632
rural,0.43699621514591724
seed,0.4366723387143706
farms,0.4354659419856569
introducing,0.4350394196362062
summer,0.43359829275220946
snack,0.4334256142846434
ceramic,0.43286614026597153
